neighbourhood,local_economy_contribution_from_airbnb
Barking and Dagenham,6589655.35
Barnet,20126415.24
Bexley,5979833.3
Brent,24082814.46
Bromley,8261503.75
Camden,70523610.87
City of London,7610301.7
Croydon,14410730.37
Ealing,21960223.09
Enfield,9273409.43
Greenwich,22177692.46
Hackney,49710717.86
Hammersmith and Fulham,38143143.3
Haringey,21830422.39
Harrow,4931776.02
Havering,4875214.47
Hillingdon,10286292.75
Hounslow,13465711.11
Islington,43436765.74
Kensington and Chelsea,70006584.92
Kingston upon Thames,7635881.47
Lambeth,45386785.65
Lewisham,20545808.2
Merton,11540083.8
Newham,22677907.09
Redbridge,8146151.42
Richmond upon Thames,12715217.25
Southwark,47942706.26
Sutton,2956969.6
Tower Hamlets,64933832.33
Waltham Forest,12333260.57
Wandsworth,37994091.59
Westminster,134093220.57
